t,stim,y0,y1,y2,y3
31.619233554999997,0.48,0,0,1,1
31.627574159999998,-0.48,1,1,0,0
31.635914764999995,-0.48,0,1,0,0
31.644255369999996,-0.48,1,0,0,0
31.652595974999997,-0.48,1,1,0,0
31.660936579999998,-0.48,1,0,0,0
31.669277185,0.48,1,0,0,0
31.677617789999996,-0.48,0,0,0,0
31.685958394999997,0.48,0,0,0,0
31.694298999999997,0.48,0,0,0,0
31.702639604999998,0.48,0,0,0,0
31.710980209999995,-0.48,0,0,1,0
31.719320814999996,-0.48,0,0,1,1
31.727661419999997,0.48,0,0,1,1
31.736002024999998,0.48,0,0,0,0
31.74434263,0.48,0,1,0,0
31.752683234999996,0.48,0,0,0,0
31.761023839999996,0.48,0,0,1,1
31.769364444999997,-0.48,0,0,1,1
31.777705049999998,-0.48,0,0,1,1
31.786045654999995,0.48,0,0,0,0
31.794386259999996,0.48,0,1,0,0
31.802726864999997,0.48,0,0,0,0
31.811067469999998,-0.48,0,0,0,0
31.819408075,-0.48,0,0,0,1
31.827748679999996,0.48,0,0,1,1
31.836089284999996,0.48,1,1,0,0
31.844429889999997,0.48,0,0,0,0
31.852770494999998,0.48,0,0,0,0
31.8611111,-0.48,0,0,0,1
31.869451704999996,-0.48,0,0,1,1
31.877792309999997,0.48,0,0,1,1
31.886132914999997,0.48,1,0,0,0
31.89447352,0.48,0,1,0,0
31.902814124999995,0.48,0,0,0,0
31.911154729999996,0.48,0,0,0,0
31.919495334999997,0.48,0,0,1,1
31.927835939999998,-0.48,0,0,1,1
31.936176545,-0.48,0,0,0,0
31.944517149999996,-0.48,0,0,1,0
31.952857754999997,0.48,1,1,0,0
31.961198359999997,-0.48,1,0,0,0
31.969538964999998,0.48,1,1,0,0
31.977879569999995,-0.48,0,0,0,0
31.986220174999996,-0.48,0,0,0,0
31.994560779999997,-0.48,1,0,0,0
32.002901384999994,0.48,1,1,0,0
32.011241989999995,-0.48,1,0,0,0
32.019582594999996,0.48,0,0,0,0
32.0279232,0.48,0,0,0,0
32.036263805,0.48,0,0,0,0
32.04460441,0.48,0,0,0,0
32.052945015,-0.48,0,0,1,1
32.06128562,-0.48,0,0,1,1
32.069626225,-0.48,0,0,1,1
32.077966829999994,0.48,0,1,0,0
32.086307434999995,0.48,1,1,0,0
32.094648039999996,-0.48,0,0,0,0
32.102988644999996,-0.48,0,0,0,0
32.11132925,-0.48,0,0,0,0
32.119669855,0.48,0,1,0,0
32.12801046,0.48,1,1,0,0
32.136351065,0.48,0,0,0,0
32.14469167,0.48,0,0,0,0
32.153032274999994,0.48,0,0,1,1
32.161372879999995,0.48,0,0,1,1
32.169713484999996,0.48,0,0,1,1
32.178054089999996,-0.48,0,0,1,0
32.186394695,-0.48,0,0,1,0
32.1947353,0.48,0,0,1,0
32.203075905,0.48,0,1,0,0
32.21141651,0.48,1,0,0,0
32.219757115,0.48,0,0,0,0
